price,area_m2,room_count,district,neighborhood,total_rooms,walkability_score
47000.0,85.0,2+1,uskudar,bulgurlu,3.0,53.97
52000.0,85.0,1.5+1,uskudar,bulgurlu,2.5,53.97
50000.0,130.0,3+1,uskudar,ferah,4.0,53.97
49000.0,120.0,3+1,kadikoy,acibadem,4.0,75.68
46000.0,140.0,3+1,uskudar,kupluce,4.0,53.97
50000.0,220.0,3+1,uskudar,bulgurlu,4.0,53.97
50000.0,106.0,2+1,uskudar,kirazlitepe,3.0,53.97
47000.0,105.0,3+1,kadikoy,acibadem,4.0,75.68
52500.0,115.0,3+1,kadikoy,acibadem,4.0,75.68
50000.0,85.0,2+1,bahcelievler,bahcelievler,3.0,34.34
50000.0,125.0,3+1,kadikoy,acibadem,4.0,75.68
55000.0,80.0,2+1,uskudar,cengelkoy,3.0,53.97
50000.0,100.0,3+1,uskudar,kucuksu,4.0,53.97
54000.0,115.0,2.5+1,uskudar,kirazlitepe,3.5,53.97
53000.0,110.0,3+1,uskudar,kisikli,4.0,53.97
46000.0,95.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
46000.0,100.0,3+1,uskudar,bulgurlu,4.0,53.97
52000.0,125.0,3+1,uskudar,ferah,4.0,53.97
50000.0,80.0,2+1,uskudar,kirazlitepe,3.0,53.97
50000.0,140.0,3+1,uskudar,murat reis,4.0,53.97
55000.0,105.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
55000.0,90.0,2+1,uskudar,burhaniye,3.0,53.97
55000.0,65.0,1+1,uskudar,selimiye,2.0,53.97
48000.0,65.0,1+1,uskudar,bulgurlu,2.0,53.97
51000.0,91.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
50000.0,145.0,3+1,uskudar,guzeltepe,4.0,53.97
50000.0,92.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
48000.0,115.0,3+1,uskudar,bulgurlu,4.0,53.97
53500.0,62.0,2+1,uskudar,cengelkoy,3.0,53.97
51000.0,105.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
55000.0,97.0,2+1,bahcelievler,bahcelievler,3.0,34.34
50000.0,91.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
55000.0,92.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
51000.0,90.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
52000.0,100.0,2+1,uskudar,kirazlitepe,3.0,53.97
48000.0,90.0,2+1,kadikoy,acibadem,3.0,75.68
46000.0,87.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
54900.0,90.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
50000.0,125.0,3+1,uskudar,murat reis,4.0,53.97
46500.0,120.0,3+1,uskudar,bulgurlu,4.0,53.97
47500.0,160.0,3+1,uskudar,mehmet akif ersoy,4.0,53.97
50000.0,150.0,3+1,uskudar,unalan,4.0,53.97
55000.0,78.0,2+1,bahcelievler,bahcelievler,3.0,34.34
48000.0,120.0,3+1,uskudar,ferah,4.0,53.97
55000.0,95.0,2+1,bahcelievler,bahcelievler,3.0,34.34
50000.0,95.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
50000.0,101.0,2+1,uskudar,kucuksu,3.0,53.97
48000.0,95.0,3+1,uskudar,kucuksu,4.0,53.97
50000.0,165.0,4+2,uskudar,cumhuriyet,6.0,53.97
52000.0,150.0,4+1,bahcelievler,bahcelievler,5.0,34.34
46500.0,109.0,2+1,uskudar,icadiye,3.0,53.97
47500.0,120.0,3+1,uskudar,bulgurlu,4.0,53.97
55000.0,155.0,3+1,uskudar,kupluce,4.0,53.97
50000.0,110.0,3+1,uskudar,ferah,4.0,53.97
46000.0,100.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
54000.0,175.0,3+1,uskudar,kupluce,4.0,53.97
47000.0,90.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
55000.0,55.0,1+1,uskudar,barbaros,2.0,53.97
47500.0,130.0,3+1,uskudar,cengelkoy,4.0,53.97
55000.0,135.0,3+1,uskudar,cumhuriyet,4.0,53.97
55000.0,115.0,2+1,bahcelievler,bahcelievler,3.0,34.34
47000.0,100.0,3+1,uskudar,kucuksu,4.0,53.97
52000.0,89.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
54000.0,75.0,2+1,uskudar,icadiye,3.0,53.97
52500.0,95.0,2+1,bahcelievler,bahcelievler,3.0,34.34
47000.0,90.0,2+1,uskudar,selami ali,3.0,53.97
50000.0,140.0,3+1,uskudar,burhaniye,4.0,53.97
55000.0,126.0,3+1,kadikoy,acibadem,4.0,75.68
48000.0,95.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
46000.0,145.0,3+1,uskudar,yavuzturk,4.0,53.97
52000.0,95.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
55000.0,77.0,2+1,uskudar,cengelkoy,3.0,53.97
55000.0,130.0,3+1,uskudar,ferah,4.0,53.97
53000.0,105.0,2+1,uskudar,kirazlitepe,3.0,53.97
49000.0,95.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
55000.0,120.0,2+1,uskudar,unalan,3.0,53.97
50000.0,120.0,3+1,kadikoy,acibadem,4.0,75.68
55000.0,130.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
50000.0,140.0,3+1,uskudar,guzeltepe,4.0,53.97
50000.0,104.0,3+1,uskudar,kucuksu,4.0,53.97
52000.0,78.0,2+1,uskudar,selami ali,3.0,53.97
48500.0,100.0,3+1,uskudar,bulgurlu,4.0,53.97
53000.0,65.0,1+1,uskudar,kupluce,2.0,53.97
53000.0,98.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
52000.0,98.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
50000.0,100.0,2+1,bahcelievler,bahcelievler,3.0,34.34
46000.0,70.0,2+1,uskudar,selami ali,3.0,53.97
51000.0,130.0,3+1,uskudar,kirazlitepe,4.0,53.97
50000.0,105.0,3+1,uskudar,kucuksu,4.0,53.97
47000.0,110.0,3+1,uskudar,ferah,4.0,53.97
45500.0,85.0,2+1,uskudar,cengelkoy,3.0,53.97
48000.0,130.0,3+1,uskudar,mehmet akif ersoy,4.0,53.97
47000.0,95.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
51000.0,122.0,2+1,uskudar,bulgurlu,3.0,53.97
48000.0,180.0,3+2,bahcelievler,bahcelievler,5.0,34.34
47000.0,100.0,2+1,uskudar,selimiye,3.0,53.97
50000.0,103.0,2+1,uskudar,ferah,3.0,53.97
53000.0,160.0,3+1,uskudar,unalan,4.0,53.97
46000.0,125.0,3+1,uskudar,cumhuriyet,4.0,53.97
47500.0,85.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
52000.0,115.0,3+1,bahcelievler,bahcelievler,4.0,34.34
52500.0,110.0,3+1,uskudar,kisikli,4.0,53.97
55000.0,102.0,2+1,uskudar,guzeltepe,3.0,53.97
52500.0,150.0,2+1,uskudar,valide-i atik,3.0,53.97
48000.0,75.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
55000.0,130.0,3+1,kadikoy,acibadem,4.0,75.68
53000.0,120.0,3+1,uskudar,cumhuriyet,4.0,53.97
51000.0,92.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
54500.0,95.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
51000.0,130.0,3+1,uskudar,unalan,4.0,53.97
55000.0,134.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
55000.0,110.0,3+1,uskudar,selami ali,4.0,53.97
46000.0,95.0,2+1,uskudar,unalan,3.0,53.97
51000.0,160.0,4+1,uskudar,unalan,5.0,53.97
52000.0,120.0,3+1,uskudar,cumhuriyet,4.0,53.97
55000.0,170.0,4+1,uskudar,selami ali,5.0,53.97
52000.0,90.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
49000.0,75.0,2+1,uskudar,murat reis,3.0,53.97
48000.0,90.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
50000.0,110.0,3+1,uskudar,icadiye,4.0,53.97
52000.0,119.0,3+1,uskudar,ferah,4.0,53.97
55000.0,150.0,2+1,uskudar,selami ali,3.0,53.97
48000.0,120.0,3+1,uskudar,bulgurlu,4.0,53.97
47500.0,105.0,2+1,uskudar,kisikli,3.0,53.97
52000.0,80.0,2+1,uskudar,kirazlitepe,3.0,53.97
50000.0,95.0,2+1,bahcelievler,bahcelievler,3.0,34.34
50000.0,74.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
50000.0,110.0,3+1,uskudar,valide-i atik,4.0,53.97
55000.0,100.0,2+1,bahcelievler,bahcelievler,3.0,34.34
49000.0,60.0,2+1,kadikoy,acibadem,3.0,75.68
49000.0,120.0,3+1,bahcelievler,bahcelievler,4.0,34.34
53000.0,130.0,3+1,uskudar,unalan,4.0,53.97
49000.0,130.0,3+1,uskudar,ferah,4.0,53.97
54000.0,105.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
52000.0,120.0,3+1,uskudar,bulgurlu,4.0,53.97
52000.0,100.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
49000.0,100.0,2+1,uskudar,mehmet akif ersoy,3.0,53.97
55000.0,110.0,2+1,bahcelievler,bahcelievler,3.0,34.34
65000.0,130.0,3+1,uskudar,unalan,4.0,53.97
60000.0,70.0,1+1,kadikoy,acibadem,2.0,75.68
61000.0,145.0,3+1,uskudar,kucuksu,4.0,53.97
58500.0,159.0,3+1,uskudar,kucuksu,4.0,53.97
56500.0,135.0,3+1,uskudar,cumhuriyet,4.0,53.97
65000.0,105.0,2+1,uskudar,beylerbeyi,3.0,53.97
70000.0,143.0,1+1,bahcelievler,bahcelievler,2.0,34.34
65000.0,135.0,3+1,uskudar,barbaros,4.0,53.97
60000.0,115.0,3+1,bahcelievler,bahcelievler,4.0,34.34
65000.0,150.0,4+1,uskudar,icadiye,5.0,53.97
67500.0,80.0,2+1,uskudar,selami ali,3.0,53.97
62000.0,115.0,3+1,uskudar,mehmet akif ersoy,4.0,53.97
75000.0,95.0,2+1,uskudar,altunizade,3.0,53.97
56000.0,130.0,3+1,uskudar,ferah,4.0,53.97
70000.0,105.0,2+1,uskudar,guzeltepe,3.0,53.97
65000.0,70.0,2+1,uskudar,guzeltepe,3.0,53.97
64000.0,150.0,3+1,uskudar,barbaros,4.0,53.97
73000.0,80.0,2+1,kadikoy,acibadem,3.0,75.68
60000.0,125.0,3+1,bahcelievler,bahcelievler,4.0,34.34
60000.0,89.0,2+1,uskudar,kirazlitepe,3.0,53.97
70000.0,185.0,4+1,uskudar,guzeltepe,5.0,53.97
75000.0,160.0,3+1,uskudar,unalan,4.0,53.97
70000.0,85.0,2+1,uskudar,cengelkoy,3.0,53.97
60000.0,105.0,3+1,uskudar,guzeltepe,4.0,53.97
75000.0,135.0,3+1,bahcelievler,bahcelievler,4.0,34.34
70000.0,110.0,2+1,bahcelievler,bahcelievler,3.0,34.34
