district,neighborhood,nearest_metro_km,metro_500m,metro_1km,weighted_1km,cafe_1km,restaurant_1km,university_2km,park_1km
sisli,esentepe,0.195,2,5,5.0,39,52,4,24
bakirkoy,florya,2.281,0,0,0.0,5,7,1,8
cekmekoy,alemdag,4.86,0,0,0.0,0,1,0,12
kadikoy,osmanaga,0.64,0,2,2.0,350,191,2,18
maltepe,altintepe,0.415,1,3,3.0,46,61,2,23
maltepe,cinar,0.528,0,3,3.0,25,40,5,21
maltepe,basibuyuk,2.473,0,0,0.0,1,0,9,6
maltepe,altaycesme,0.608,0,2,2.0,81,75,0,19
maltepe,baglarbasi,0.752,0,2,2.0,54,57,1,25
pendik,fatih,1.693,0,0,0.0,4,2,0,20
besiktas,kaynarca,1.261,0,0,0.0,95,55,19,19
pendik,fevzi cakmak,1.001,0,0,0.0,1,5,0,16
pendik,guzelyali,0.433,1,2,2.0,1,2,0,10
pendik,gullu baglar,0.798,0,1,1.0,9,1,1,13
pendik,ahmet yesevi,2.218,0,0,0.0,2,1,1,19
beyoglu,harmandere,0.082,1,2,3.0,309,396,53,18
pendik,orhangazi,1.14,0,0,0.0,2,3,0,20
beyoglu,kurtkoy,0.082,1,2,3.0,309,396,53,18
pendik,velibaba,1.793,0,0,0.0,1,6,1,16
pendik,kavakpinar,2.219,0,0,0.0,0,0,0,5
pendik,cinardere,0.662,0,1,1.0,2,9,1,12
pendik,suluntepe,1.024,0,0,0.0,5,2,1,14
pendik,esenler,0.95,0,1,1.0,9,1,1,21
bahcelievler,bahcelievler,0.049,1,4,4.0,21,10,5,28
pendik,dumlupinar,0.904,0,1,1.0,0,8,0,12
pendik,ertugrul gazi,1.956,0,0,0.0,0,0,1,4
beyoglu,camlik,2.532,0,0,0.0,1,4,3,39
pendik,seyhli,0.806,0,1,1.0,5,0,1,14
pendik,orta,0.338,1,1,1.0,1,10,1,10
pendik,ramazanoglu,1.225,0,0,0.0,2,0,1,4
pendik,yayalar,0.722,0,1,1.0,2,1,1,8
besiktas,bati,1.261,0,0,0.0,95,55,19,19
bahcelievler,sapan baglari,0.526,0,4,4.0,24,12,4,27
pendik,sanayi,0.522,0,1,1.0,8,9,2,11
bahcelievler,yeni,0.626,0,2,2.0,2,6,0,20
besiktas,dogu,1.261,0,0,0.0,95,55,19,19
bahcelievler,yesilbaglar,0.526,0,4,4.0,24,12,4,27
sancaktepe,mevlana,3.427,0,0,0.0,0,1,0,7
sancaktepe,merve,1.841,0,0,0.0,0,0,0,21
sancaktepe,osmangazi,0.496,1,2,2.0,14,7,0,26
sancaktepe,veysel karani,2.442,0,0,0.0,5,13,0,7
sancaktepe,ataturk,0.892,0,1,1.0,14,5,0,27
sancaktepe,fatih,3.228,0,0,0.0,2,1,1,8
sancaktepe,safa,2.311,0,0,0.0,0,1,0,17
sancaktepe,akpinar,1.855,0,0,0.0,1,3,0,8
sancaktepe,abdurrahmangazi,0.368,1,2,2.0,14,8,0,23
sancaktepe,yunus emre,3.22,0,0,0.0,0,2,0,8
sancaktepe,hilal,3.556,0,0,0.0,1,2,0,7
sancaktepe,kemal turkler,0.537,0,1,1.0,16,7,0,24
sancaktepe,emek,0.65,0,1,1.0,8,7,1,18
sancaktepe,inonu,0.145,1,1,1.0,18,7,0,19
sancaktepe,meclis,0.51,0,2,2.0,22,13,0,23
sancaktepe,eyup sultan,0.475,1,2,2.0,14,6,0,17
sariyer,kocatas,3.268,0,0,0.0,2,2,0,1
sariyer,pinar,0.827,0,1,1.0,11,16,4,11
sariyer,fatih sultan mehmet,1.457,0,0,0.0,0,3,7,13
sariyer,maden,4.716,0,0,0.0,1,2,1,1
sariyer,ferahevler,1.608,0,0,0.0,0,4,0,11
sariyer,rumeli hisari,0.886,0,1,2.0,20,27,6,12
sariyer,poligon,1.441,0,0,0.0,2,7,3,13
sariyer,sariyer merkez,3.919,0,0,0.0,7,7,0,17
sariyer,cumhuriyet,0.965,0,1,1.0,5,6,0,6
sariyer,emirgan,2.112,0,0,0.0,9,8,5,8
sariyer,kirecburnu,1.512,0,0,0.0,2,6,0,7
sariyer,resitpasa,1.693,0,0,0.0,6,7,4,6
sariyer,bahcekoy yeni,4.909,0,0,0.0,0,0,2,1
sariyer,rumeli kavagi,5.94,0,0,0.0,1,4,1,0
sariyer,yenikoy,3.837,0,0,0.0,14,16,0,4
sariyer,baltalimani,1.297,0,0,0.0,10,14,6,7
sariyer,kazim karabekir pasa,2.55,0,0,0.0,0,1,0,1
sariyer,camlitepe,0.186,1,1,1.0,2,0,1,11
sariyer,yeni,6.684,0,0,0.0,0,0,2,0
sariyer,bahcekoy kemer,4.714,0,0,0.0,0,1,2,1
sariyer,cayirbasi,2.115,0,0,0.0,2,5,0,3
sariyer,bahcekoy merkez,5.519,0,0,0.0,3,5,2,0
sariyer,ptt evleri,2.083,0,0,0.0,0,1,0,0
sariyer,darussafaka,0.453,1,1,1.0,0,0,3,12
silivri,mimar sinan,41.988,0,0,0.0,20,33,1,17
silivri,fatih,41.988,0,0,0.0,20,33,1,17
silivri,alibey,41.988,0,0,0.0,20,33,1,17
silivri,yeni,41.988,0,0,0.0,20,33,1,17
silivri,piri mehmet pasa,41.988,0,0,0.0,20,33,1,17
silivri,cumhuriyet,41.988,0,0,0.0,20,33,1,17
besiktas,ortakoy,1.554,0,0,0.0,26,32,9,13
silivri,semizkumlar,41.988,0,0,0.0,20,33,1,17
silivri,alipasa,41.988,0,0,0.0,20,33,1,17
adalar,buyukada,4.423,0,0,0.0,15,14,0,8
beyoglu,kemankes,0.703,0,1,2.0,301,352,53,23
beyoglu,arapcami,0.082,1,2,3.0,309,396,53,18
kucukcekmece,merkez,1.567,0,0,0.0,5,3,1,28
kadikoy,kosuyolu,0.852,0,2,2.0,29,26,8,33
bakirkoy,yesilkoy,2.312,0,0,0.5,10,21,0,9
sisli,harbiye,0.891,0,2,2.0,139,134,22,24
maltepe,aydinevler,0.517,0,1,1.0,10,7,9,12
zeytinburnu,bestelsiz,1.142,0,0,0.0,30,94,6,30
besiktas,etiler,0.192,1,2,2.5,23,36,7,16
kadikoy,caddebostan,1.242,0,0,0.0,73,74,1,9
besiktas,bebek,0.656,0,2,3.0,23,25,5,12
besiktas,levent,0.584,0,4,4.0,39,52,6,26
beyoglu,purtelas,0.685,0,1,1.5,336,353,20,22
kadikoy,egitim,0.985,0,1,1.0,41,39,5,20
eyupsultan,rami,1.418,0,0,0.0,21,26,1,30
bahcelievler,cobancesme,0.616,0,2,2.0,0,0,1,17
bagcilar,kirazli,0.565,0,3,3.0,24,80,0,26
bagcilar,mahmutbey,0.521,0,1,1.0,5,8,1,14
umraniye,ataturk,0.458,1,2,2.0,17,28,1,41
tuzla,tersaneler,0.527,0,2,2.0,2,2,0,25
bakirkoy,zuhuratbaba,0.253,2,2,2.5,21,32,3,26
umraniye,aksemsettin,1.44,0,0,0.0,3,3,1,47
kucukcekmece,fatih,2.939,0,0,0.5,8,11,0,13
esenler,ahmet yesevi,0.515,0,3,3.0,5,1,4,26
kucukcekmece,abdurrahmangazi,2.972,0,0,0.5,9,11,0,16
buyukcekmece,battalgazi,13.414,0,0,0.0,0,2,3,16
umraniye,necip fazil,0.386,1,1,1.0,3,3,1,21
esenler,turgut reis,0.756,0,1,1.0,3,10,0,25
umraniye,yavuz selim,1.352,0,0,0.0,14,40,1,18
umraniye,hamidiye,0.599,0,2,2.0,3,8,1,16
buyukcekmece,adil,15.673,0,0,0.0,31,55,1,6
buyukcekmece,mimar sinan,17.292,0,0,0.0,0,6,1,4
esenler,mecidiye,0.515,0,3,3.0,5,1,4,26
kucukcekmece,hasanpasa,2.972,0,0,0.5,9,11,0,16
kucukcekmece,mehmet akif,0.605,0,3,3.0,6,6,2,8
umraniye,orhangazi,0.453,1,2,2.0,0,0,0,21
bakirkoy,zeytinlik,0.155,2,3,3.5,20,28,2,27
beyoglu,taksim,0.031,1,1,1.5,223,264,17,27
bakirkoy,cevizlik,0.324,2,3,3.5,20,28,1,25
kartal,dragos,1.075,0,0,0.0,1,7,1,18
