price,area_m2,room_count,district,neighborhood,total_rooms,walkability_score,price_per_room,student_score
13000.0,85.0,2+1,esenyurt,merkez,3.0,14.63,4333.333333333333,56.82
14000.0,95.0,2+1,esenyurt,merkez,3.0,14.63,4666.666666666667,56.51
12500.0,130.0,3+1,basaksehir,ikitelli,4.0,36.84,3125.0,68.38
13000.0,90.0,2+1,esenyurt,merkez,3.0,14.63,4333.333333333333,56.82
14000.0,150.0,3+1,esenyurt,merkez,4.0,14.63,3500.0,57.17
12500.0,100.0,2+1,bayrampasa,yildirim,3.0,21.76,4166.666666666667,60.55
13000.0,80.0,1+1,esenyurt,merkez,2.0,14.63,6500.0,53.3
13000.0,160.0,5+1,avcilar,merkez,6.0,39.71,2166.6666666666665,69.84
13000.0,46.0,Stüdyo (1+0),esenyurt,merkez,1.0,14.63,13000.0,30.28
13500.0,60.0,1+1,esenyurt,merkez,2.0,14.63,6750.0,52.27
14000.0,110.0,3+1,esenler,sanayi,4.0,25.96,3500.0,62.84
12500.0,80.0,1+1,basaksehir,ikitelli,2.0,36.84,6250.0,65.0
13000.0,110.0,2+1,esenyurt,merkez,3.0,14.63,4333.333333333333,56.82
12500.0,120.0,3+1,umraniye,cakmak,4.0,42.72,3125.0,71.32
13500.0,70.0,1+1,esenyurt,merkez,2.0,14.63,6750.0,52.27
14000.0,179.0,2+1,esenyurt,merkez,3.0,14.63,4666.666666666667,56.51
14000.0,53.0,Stüdyo (1+0),buyukcekmece,celaliye(kamiloba),1.0,14.19,14000.0,27.34
13500.0,110.0,2+1,avcilar,yesilkent,3.0,39.71,4500.0,69.2
14000.0,70.0,1+1,basaksehir,ikitelli,2.0,36.84,7000.0,62.69
12500.0,120.0,Stüdyo (1+0),fatih,kocamustafapasa,1.0,93.75,12500.0,71.14
13500.0,84.0,1+1,esenyurt,merkez,2.0,14.63,6750.0,52.27
14000.0,60.0,1+1,sultanbeyli,mehmetakif,2.0,7.94,7000.0,48.24
13000.0,90.0,2+1,avcilar,firuzkoy,3.0,39.71,4333.333333333333,69.36
13000.0,100.0,2+1,esenyurt,merkez,3.0,14.63,4333.333333333333,56.82
12500.0,65.0,2+1,bagcilar,merkez,3.0,46.1,4166.666666666667,72.72
12500.0,90.0,2+1,beyoglu,kasimpasa,3.0,70.74,4166.666666666667,85.04
36000.0,110.0,2+1,beyoglu,piri pasa,3.0,70.74,12000.0,60.92
36000.0,77.0,2+1,beyoglu,cihangir,3.0,70.74,12000.0,60.92
35000.0,85.0,2+1,beyoglu,piri pasa,3.0,70.74,11666.666666666666,62.1
36500.0,60.0,1+1,beyoglu,sehit muhtar,2.0,70.74,18250.0,47.64
32000.0,140.0,3+1,beyoglu,piyalepasa,4.0,70.74,8000.0,76.27
35000.0,98.0,3+1,beyoglu,ornektepe,4.0,70.74,8750.0,72.67
32500.0,75.0,2+1,beyoglu,yenisehir,3.0,70.74,10833.333333333334,64.55
33000.0,70.0,2+1,beyoglu,halicioglu,3.0,70.74,11000.0,64.14
32000.0,65.0,2+1,beyoglu,piri pasa,3.0,70.74,10666.666666666666,65.05
35000.0,65.0,1+1,beyoglu,omer avni,2.0,70.74,17500.0,48.59
35000.0,65.0,1+1,beyoglu,gumussuyu,2.0,70.74,17500.0,48.59
36000.0,80.0,2+1,beyoglu,firuzaga,3.0,70.74,12000.0,60.92
35000.0,65.0,1+1,beyoglu,yenisehir,2.0,70.74,17500.0,48.59
33000.0,50.0,1+1,beyoglu,firuzaga,2.0,70.74,16500.0,50.33
32000.0,80.0,2+1,beyoglu,kucuk piyale,3.0,70.74,10666.666666666666,65.05
33000.0,75.0,1+1,beyoglu,sehit muhtar,2.0,70.74,16500.0,50.33
32000.0,80.0,2+1,beyoglu,kadimehmet efendi,3.0,70.74,10666.666666666666,65.05
36000.0,70.0,1+1,beyoglu,sururi mehmet efendi,2.0,70.74,18000.0,47.84
35000.0,85.0,2+1,beyoglu,haciahmet,3.0,70.74,11666.666666666666,62.1
35000.0,55.0,1+1,beyoglu,firuzaga,2.0,70.74,17500.0,48.59
35000.0,70.0,1+1,beyoglu,tomtom,2.0,70.74,17500.0,48.59
35000.0,110.0,2+1,beyoglu,piri pasa,3.0,70.74,11666.666666666666,62.1
33000.0,70.0,1+1,beyoglu,tomtom,2.0,70.74,16500.0,50.33
32000.0,90.0,2+1,beyoglu,kadimehmet efendi,3.0,70.74,10666.666666666666,65.05
34500.0,130.0,3+1,beyoglu,piyalepasa,4.0,70.74,8625.0,73.56
36000.0,130.0,2+1,beyoglu,piri pasa,3.0,70.74,12000.0,60.92
35000.0,55.0,1+1,beyoglu,sururi mehmet efendi,2.0,70.74,17500.0,48.59
35000.0,45.0,1+1,beyoglu,kuloglu,2.0,70.74,17500.0,48.59
32000.0,50.0,1+1,beyoglu,kuloglu,2.0,70.74,16000.0,51.32
35500.0,60.0,1+1,beyoglu,sururi mehmet efendi,2.0,70.74,17750.0,48.05
35000.0,60.0,1+1,beyoglu,katip mustafa celebi,2.0,70.74,17500.0,48.59
32500.0,95.0,2+1,beyoglu,kucuk piyale,3.0,70.74,10833.333333333334,64.55
32000.0,70.0,1+1,beyoglu,sururi mehmet efendi,2.0,70.74,16000.0,51.32
35000.0,55.0,1+1,beyoglu,katip mustafa celebi,2.0,70.74,17500.0,48.59
32000.0,65.0,1+1,beyoglu,cihangir,2.0,70.74,16000.0,51.32
36500.0,80.0,1+1,beyoglu,firuzaga,2.0,70.74,18250.0,47.64
36500.0,70.0,1+1,beyoglu,cihangir,2.0,70.74,18250.0,47.64
32000.0,50.0,Stüdyo (1+0),beyoglu,kuloglu,1.0,70.74,32000.0,37.39
35000.0,55.0,1+1,beyoglu,kocatepe,2.0,70.74,17500.0,48.59
37000.0,60.0,1+1,beyoglu,sehit muhtar,2.0,70.74,18500.0,47.05
35000.0,80.0,1+1,beyoglu,catma mescit,2.0,70.74,17500.0,48.59
35000.0,130.0,3+1,beyoglu,ornektepe,4.0,70.74,8750.0,72.67
35000.0,70.0,1+1,beyoglu,sururi mehmet efendi,2.0,70.74,17500.0,48.59
35000.0,75.0,2+1,beyoglu,hacimimi,3.0,70.74,11666.666666666666,62.1
32000.0,65.0,2+1,beyoglu,yenisehir,3.0,70.74,10666.666666666666,65.05
32000.0,60.0,1+1,beyoglu,gumussuyu,2.0,70.74,16000.0,51.32
35000.0,55.0,1+1,beyoglu,omer avni,2.0,70.74,17500.0,48.59
34000.0,90.0,2+1,beyoglu,ornektepe,3.0,70.74,11333.333333333334,63.15
35000.0,95.0,2+1,beyoglu,sehit muhtar,3.0,70.74,11666.666666666666,62.1
35000.0,60.0,1+1,beyoglu,omer avni,2.0,70.74,17500.0,48.59
35000.0,85.0,2+1,beyoglu,kocatepe,3.0,70.74,11666.666666666666,62.1
33000.0,70.0,2+1,beyoglu,yahya kahya,3.0,70.74,11000.0,64.14
32000.0,85.0,2+1,beyoglu,kulaksiz,3.0,70.74,10666.666666666666,65.05
36000.0,105.0,4+1,beyoglu,sutluce,5.0,70.74,7200.0,79.11
32000.0,90.0,2+1,beyoglu,yenisehir,3.0,70.74,10666.666666666666,65.05
32000.0,120.0,2+1,beyoglu,piyalepasa,3.0,70.74,10666.666666666666,65.05
33000.0,60.0,2+1,beyoglu,kamer hatun,3.0,70.74,11000.0,64.14
32500.0,85.0,2+1,beyoglu,haciahmet,3.0,70.74,10833.333333333334,64.55
35500.0,45.0,1+1,beyoglu,yenisehir,2.0,70.74,17750.0,48.05
37000.0,60.0,1+1,beyoglu,katip mustafa celebi,2.0,70.74,18500.0,47.05
36000.0,75.0,2+1,beyoglu,sururi mehmet efendi,3.0,70.74,12000.0,60.92
37000.0,110.0,2+1,beyoglu,piri pasa,3.0,70.74,12333.333333333334,60.31
35000.0,80.0,2+1,beyoglu,purtelas hasan efendi,3.0,70.74,11666.666666666666,62.1
35000.0,70.0,2+1,beyoglu,kulaksiz,3.0,70.74,11666.666666666666,62.1
34200.0,75.0,1+1,beyoglu,camiikebir,2.0,70.74,17100.0,49.22
37000.0,50.0,Stüdyo (1+0),beyoglu,firuzaga,1.0,70.74,37000.0,36.37
32500.0,55.0,1+1,beyoglu,halicioglu,2.0,70.74,16250.0,50.77
35000.0,120.0,3+1,beyoglu,kucuk piyale,4.0,70.74,8750.0,72.67
36000.0,130.0,3+1,beyoglu,kulaksiz,4.0,70.74,9000.0,71.57
33000.0,110.0,2+1,beyoglu,halicioglu,3.0,70.74,11000.0,64.14
33000.0,90.0,2+1,beyoglu,piri pasa,3.0,70.74,11000.0,64.14
35000.0,100.0,2+1,beyoglu,halicioglu,3.0,70.74,11666.666666666666,62.1
37000.0,85.0,2+1,beyoglu,piri pasa,3.0,70.74,12333.333333333334,60.31
42000.0,90.0,3+1,beyoglu,sururi mehmet efendi,4.0,70.74,10500.0,65.59
39500.0,57.0,1+1,beyoglu,halicioglu,2.0,70.74,19750.0,45.63
39000.0,78.0,1+1,beyoglu,piri pasa,2.0,70.74,19500.0,45.77
45000.0,85.0,2+1,beyoglu,sutluce,3.0,70.74,15000.0,53.31
43000.0,85.0,2+1,beyoglu,sutluce,3.0,70.74,14333.333333333334,54.86
45000.0,90.0,2+1,beyoglu,firuzaga,3.0,70.74,15000.0,53.31
45000.0,120.0,3+1,beyoglu,kaptanpasa,4.0,70.74,11250.0,63.48
40000.0,65.0,1+1,beyoglu,kuloglu,2.0,70.74,20000.0,44.94
40000.0,100.0,2+1,beyoglu,yenisehir,3.0,70.74,13333.333333333334,57.37
45000.0,90.0,2+1,beyoglu,kocatepe,3.0,70.74,15000.0,53.31
40000.0,115.0,3+1,beyoglu,kocatepe,4.0,70.74,10000.0,67.46
45000.0,55.0,1+1,beyoglu,katip mustafa celebi,2.0,70.74,22500.0,42.42
42000.0,60.0,1+1,beyoglu,cihangir,2.0,70.74,21000.0,43.84
42000.0,120.0,3+1,beyoglu,piri pasa,4.0,70.74,10500.0,65.59
38000.0,80.0,2+1,beyoglu,ornektepe,3.0,70.74,12666.666666666666,58.96
40000.0,60.0,1+1,beyoglu,firuzaga,2.0,70.74,20000.0,44.94
38500.0,67.0,1+1,beyoglu,haciahmet,2.0,70.74,19250.0,45.99
40000.0,85.0,2+1,beyoglu,kadimehmet efendi,3.0,70.74,13333.333333333334,57.37
40000.0,100.0,1+1,beyoglu,huseyinaga,2.0,70.74,20000.0,44.94
45000.0,120.0,2+2,beyoglu,ornektepe,4.0,70.74,11250.0,63.48
45000.0,100.0,2+1,beyoglu,kuloglu,3.0,70.74,15000.0,53.31
40000.0,125.0,2+1,beyoglu,kalyoncu kullugu,3.0,70.74,13333.333333333334,57.37
40000.0,97.0,2+1,beyoglu,piri pasa,3.0,70.74,13333.333333333334,57.37
40000.0,60.0,1+1,beyoglu,cihangir,2.0,70.74,20000.0,44.94
42500.0,115.0,3+1,beyoglu,halicioglu,4.0,70.74,10625.0,65.35
