price,area_m2,room_count,district,sub_district,neighborhood,total_rooms,walkability_score,price_per_room,student_score,lat,lon,is_district_center,nearest_metro_km,metro_500m,metro_1km,weighted_1km,restaurant_1km,cafe_1km,university_2km,park_1km,is_periphery
21000.0,95.0,2+1,arnavutkoy,hadimkoy(boyalik),deliklikaya,3.0,10.88,7000.0,51.92,41.184471,28.7412446,1,0.8045091011774234,0,1,1.0,7,3,0,6,1
22000.0,120.0,2+1,arnavutkoy,arnavutkoy,hadimkoy,3.0,10.88,7333.333333333333,51.38,41.1585587,28.6212692,0,4.889652492141454,0,0,0.0,1,0,0,2,1
19500.0,50.0,1+1,arnavutkoy,arnavutkoy,anadolu,2.0,10.88,9750.0,43.98,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
20000.0,80.0,1.5+1,arnavutkoy,bolluca,hicret,2.5,10.88,8000.0,49.75,41.1986596,28.7666478,0,2.6925144497725544,0,0,0.0,0,0,0,4,1
20000.0,75.0,1+1,arnavutkoy,arnavutkoy,anadolu,2.0,10.88,10000.0,42.61,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
22000.0,90.0,2+1,arnavutkoy,arnavutkoy,i̇slambey,3.0,10.88,7333.333333333333,51.38,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
19000.0,80.0,2+1,arnavutkoy,arnavutkoy,hadimkoy,3.0,10.88,6333.333333333333,53.12,41.1585587,28.6212692,0,4.889652492141454,0,0,0.0,1,0,0,2,1
20000.0,80.0,2+1,arnavutkoy,arnavutkoy,nenehatun,3.0,10.88,6666.666666666667,52.58,41.1821756,28.740234,0,0.7111367946282976,0,1,1.0,7,3,0,4,1
21000.0,85.0,2+1,arnavutkoy,hadimkoy(boyalik),deliklikaya,3.0,10.88,7000.0,51.92,41.184471,28.7412446,1,0.8045091011774234,0,1,1.0,7,3,0,6,1
19000.0,70.0,1+1,arnavutkoy,tasoluk,tasoluk,2.0,10.88,9500.0,44.56,41.1915259,28.707349,0,1.86980303378312,0,0,0.0,0,0,0,3,1
22000.0,140.0,3+1,arnavutkoy,hadimkoy(boyalik),hastane,4.0,10.88,5500.0,54.16,41.184471,28.7412446,1,0.8045091011774234,0,1,1.0,7,3,0,6,1
19000.0,85.0,2+1,arnavutkoy,hadimkoy(boyalik),deliklikaya,3.0,10.88,6333.333333333333,53.12,41.184471,28.7412446,1,0.8045091011774234,0,1,1.0,7,3,0,6,1
20500.0,110.0,2+1,arnavutkoy,arnavutkoy,anadolu,3.0,10.88,6833.333333333333,52.2,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
22000.0,85.0,2+1,arnavutkoy,tasoluk,tasoluk,3.0,10.88,7333.333333333333,51.38,41.1915259,28.707349,0,1.86980303378312,0,0,0.0,0,0,0,3,1
20000.0,80.0,1+1,arnavutkoy,bolluca,merkez,2.0,10.88,10000.0,42.61,41.1974977,28.7650153,0,2.5078688019234936,0,0,0.0,0,0,0,4,1
20000.0,85.0,2+1,arnavutkoy,bolluca,mavigol,3.0,10.88,6666.666666666667,52.58,41.2185352,28.7696946,0,4.256095480383518,0,0,0.0,0,0,0,0,1
20000.0,85.0,1+1,arnavutkoy,arnavutkoy,nenehatun,2.0,10.88,10000.0,42.61,41.1821756,28.740234,0,0.7111367946282976,0,1,1.0,7,3,0,4,1
20000.0,75.0,1+1,arnavutkoy,hadimkoy(boyalik),hastane,2.0,10.88,10000.0,42.61,41.184471,28.7412446,1,0.8045091011774234,0,1,1.0,7,3,0,6,1
21000.0,130.0,3+1,arnavutkoy,arnavutkoy,i̇slambey,4.0,10.88,5250.0,54.36,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
