price,area_m2,room_count,district,neighborhood,total_rooms,walkability_score
45000.0,117.0,3+1,Ferah,Kısıklı,4.0,10.0
43500.0,95.0,2+1,Üsküdar,Küçüksu,3.0,52.38
38000.0,75.0,2+1,Üsküdar,Çengelköy,3.0,52.38
40000.0,110.0,2+1,Bulgurlu,Merkez,3.0,10.0
38000.0,110.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
38000.0,60.0,1+1,Üsküdar,İcadiye,2.0,52.38
37500.0,90.0,1+1,Kadıköy,Acıbadem,2.0,74.31
45000.0,75.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
52000.0,110.0,3+1,Merkez,Mimar Sinan,4.0,10.0
52000.0,130.0,3+1,Üsküdar,Barbaros,4.0,52.38
47000.0,120.0,3+1,Üsküdar,Barbaros,4.0,52.38
50000.0,89.0,2+1,Üsküdar,Kirazlıtepe,3.0,52.38
55000.0,103.0,2+1,Ferah,Merkez,3.0,10.0
54000.0,150.0,3+1,Bulgurlu,Merkez,4.0,10.0
48000.0,95.0,2+1,Üsküdar,Kirazlıtepe,3.0,52.38
46000.0,69.0,2+1,Ferah,Merkez,3.0,10.0
46000.0,125.0,3+1,Üsküdar,Barbaros,4.0,52.38
52000.0,85.0,1.5+1,Kadıköy,Acıbadem,2.5,74.31
50000.0,87.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
55000.0,90.0,2+1,Merkez,Salacak,3.0,10.0
50000.0,140.0,3+1,Kadıköy,Acıbadem,4.0,74.31
50000.0,100.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
52500.0,75.0,2+1,Merkez,Sultantepe,3.0,10.0
52000.0,125.0,3+1,Ünalan,Ünalan,4.0,10.0
50000.0,90.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
47500.0,85.0,2+1,Üsküdar,Kirazlıtepe,3.0,52.38
55000.0,100.0,3+1,Üsküdar,Küçüksu,4.0,52.38
55000.0,85.0,2+1,Üsküdar,İcadiye,3.0,52.38
50000.0,145.0,3+1,Bahçelievler,Bahçelievler,4.0,10.0
55000.0,120.0,3+1,Üsküdar,Barbaros,4.0,52.38
48000.0,135.0,4+1,Üsküdar,Çengelköy,5.0,52.38
46000.0,100.0,3+1,Bulgurlu,Cumhuriyet,4.0,10.0
55000.0,70.0,2+1,Bulgurlu,Merkez,3.0,10.0
46000.0,140.0,3+1,Bulgurlu,Merkez,4.0,10.0
49000.0,155.0,5+1,Merkez,Aziz Mahmut Hüdayi,6.0,10.0
47000.0,150.0,3+1,Bulgurlu,Merkez,4.0,10.0
53000.0,87.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
55000.0,150.0,3+1,Üsküdar,Mehmet Akif Ersoy,4.0,52.38
55000.0,77.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
51500.0,70.0,2+1,Üsküdar,Selami Ali,3.0,52.38
50000.0,120.0,3+1,Üsküdar,Barbaros,4.0,52.38
55000.0,90.0,2+1,Üsküdar,Beylerbeyi,3.0,52.38
47000.0,65.0,2+1,Ferah,Yavuztürk,3.0,10.0
49000.0,105.0,2+1,Ferah,Merkez,3.0,10.0
