district,sub_district,neighborhood,location_id,listing_count,lat,lon,geocode_strategy,is_district_center,display_name
bagcilar,bagcilar,fevzi cakmak,56,4,41.0457899,28.8556182,1.0,0.0,"Fevzi Çakmak Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
bagcilar,bagcilar,goztepe,57,30,41.056831,28.8479795,1.0,0.0,"Göztepe, O-3, Fatih Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34218, Türkiye"
bagcilar,bagcilar,merkez,58,4,41.0323551,28.8633027,1.0,0.0,"Merkez Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
bagcilar,bagcilar,sancaktepe,59,2,41.0366758,28.8571152,1.0,0.0,"Sancaktepe Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
bagcilar,barbaros/yesilbag,barbaros,60,3,41.034547,28.8567558,3.0,1.0,"Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
bagcilar,barbaros/yesilbag,i̇nonu,61,3,41.034547,28.8567558,3.0,1.0,"Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
bagcilar,barbaros/yesilbag,kazim karabekir,62,4,41.034547,28.8567558,3.0,1.0,"Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
bagcilar,barbaros/yesilbag,yavuz selim,63,1,41.034547,28.8567558,3.0,1.0,"Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
bagcilar,barbaros/yesilbag,yildiztepe,64,2,41.034547,28.8567558,3.0,1.0,"Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
bagcilar,demirkapi,demirkapi,65,12,41.051991,28.839979,1.0,0.0,"Demirkapı Mahallesi, Velioğlu Caddesi, Demirkapı Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34218, Türkiye"
bagcilar,gunesli,15 temmuz,66,30,41.038533,28.821263,1.0,0.0,"15 Temmuz Mahallesi Muhtarlığı, Şehit Hidayet Yılmaz Sokağı, 15 Temmuz Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34212, Türkiye"
bagcilar,gunesli,gunesli,67,17,41.0436353,28.8249417,1.0,0.0,"Avrupa Konutları Güneşli-2 İnşaatı, Güneşli Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34212, Türkiye"
bagcilar,hurriyet,baglar,68,31,41.0265041,28.8291755,1.0,0.0,"Baglar berber, Atatürk Caddesi, Bağlar Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34212, Türkiye"
bagcilar,hurriyet,hurriyet,69,3,41.027907,28.829196,1.0,0.0,"Hürriyet Mahallesi, Atatürk Caddesi, Bağlar Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34212, Türkiye"
bagcilar,kemalpasa,fatih,70,1,41.0511389,28.8514469,2.0,0.0,"Kemalpaşa Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
bagcilar,kemalpasa,kemalpasa,71,7,41.055385,28.850816,1.0,0.0,"Kemalpaşa Mahallesi, O-3 Güney Yanyolu, Kemalpaşa Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34218, Türkiye"
bagcilar,kirazli,kirazli,72,14,41.0318236,28.8422874,1.0,0.0,"Kirazlı, Mevlana Caddesi, Kirazlı Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34212, Türkiye"
bagcilar,kirazli,yenimahalle,73,18,41.0413498,28.8439055,1.0,0.0,"Yenimahalle, Ahmet Kabaklı Caddesi, Yenimahalle Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34212, Türkiye"
bagcilar,mahmutbey,merkez,74,34,41.0548789,28.8205125,1.0,0.0,"Mahmutbey Merkez Kıraathanes, Gazi Mustafa Kemal Caddesi, Mahmutbey Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34218, Türkiye"
bahcelievler,cobancesme,cobancesme,75,8,40.9997399,28.8226129,1.0,0.0,"Çobançeşme, Sanayi Caddesi, Yenibosna Merkez Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34197, Türkiye"
bahcelievler,cumhuriyet,merkez,76,6,41.0168134,28.8581973,1.0,0.0,"Cumhuriyet Mahallesi Merkez Camii, Ballıca Sokağı, Cumhuriyet Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34186, Türkiye"
bahcelievler,fevzi cakmak,fevzi cakmak,77,3,40.999316,28.834468,1.0,0.0,"Fevzi Çakmak Mahallesi, Yıldırım Beyazıd Caddesi, Zafer Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34197, Türkiye"
bahcelievler,hurriyet,hurriyet,78,11,41.0005964,28.8405693,1.0,0.0,"Hürriyet Caddesi, Hürriyet Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34188, Türkiye"
bahcelievler,kocasinan,kocasinan merkez,79,9,41.0184194,28.8420305,1.0,0.0,"Kocasinan Merkez Camii, Mahmutbey Caddesi, Kocasinan Merkez Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34188, Türkiye"
bahcelievler,merkez,bahcelievler,80,46,41.0186755,28.8289865,1.0,0.0,"Garden Hill Bahçelievler, Yenibosna Merkez Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34197, Türkiye"
bahcelievler,sirinevler,sirinevler,81,21,40.9917268,28.8468846,1.0,0.0,"Şirinevler, D-100, Şirinevler Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34188, Türkiye"
bahcelievler,siyavuspasa,siyavuspasa,82,24,40.99851,28.857668,1.0,0.0,"Siyavuşpaşa, Adnan Kahveci Bulvarı, Yayla, Siyavuşpaşa Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34180, Türkiye"
bahcelievler,soganli,soganli,83,18,41.014022,28.857484,1.0,0.0,"Soğanlı, Edirne Caddesi, Camlıkahve, Soğanlı Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34183, Türkiye"
bahcelievler,yenibosna,yenibosna merkez,84,19,41.001857,28.834161,1.0,0.0,"Yenibosna Merkez Camii, Yıldırım Beyazıd Caddesi, Fevzi Çakmak Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34197, Türkiye"
bahcelievler,zafer,merkez,85,14,41.0025239,28.8345438,1.0,0.0,"Yenibosna Merkez Camii, Vadi Sokağı, Zafer Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34197, Türkiye"
bakirkoy,atakoy,atakoy 1. kisim,86,1,40.9741972,28.8496451,1.0,0.0,"Seapearl Ataköy, Ataköy, Ataköy 2-5-6. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
bakirkoy,atakoy,atakoy 2-5-6. kisim,87,7,40.9741972,28.8496451,1.0,0.0,"Seapearl Ataköy, Ataköy, Ataköy 2-5-6. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
bakirkoy,atakoy,atakoy 3-4-11. kisim,88,8,40.9802282,28.8562265,2.0,0.0,"Ataköy, Kilitbahir Sokağı, Ataköy 2-5-6. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34158, Türkiye"
bakirkoy,atakoy,atakoy 7-8-9-10. kisim,89,34,40.9903731,28.834506,1.0,0.0,"Sip'in Coffee and Smoothie, 22, Bedri Rahmi Eyüboğlu Caddesi, Ataköy 7-8-9-10. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34140, Türkiye"
bakirkoy,cevizlik,merkez,90,10,40.9785708,28.8754801,2.0,0.0,"Cevizlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
bakirkoy,cevizlik,sakizagaci,91,10,40.9785708,28.8754801,2.0,0.0,"Cevizlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
bakirkoy,cevizlik,yenimahalle,92,5,40.9785708,28.8754801,2.0,0.0,"Cevizlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
bakirkoy,florya,basinkoy,93,1,40.972897,28.7876122,2.0,0.0,"Florya, Valilik Yolu Caddesi, Basınköy Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34153, Türkiye"
bakirkoy,florya,senlikkoy,94,26,40.981024,28.7938759,1.0,0.0,"Şenlikköy Polis Karakolu, Mektep Sokağı, Florya, Şenlikköy Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34153, Türkiye"
bakirkoy,kartaltepe,merkez,95,10,40.9852114,28.8759551,2.0,0.0,"Kartaltepe Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34145, Türkiye"
bakirkoy,kartaltepe,osmaniye,96,8,40.9852114,28.8759551,2.0,0.0,"Kartaltepe Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34145, Türkiye"
bakirkoy,yesilkoy,yesilkoy,97,20,40.9626544,28.824857,1.0,0.0,"Yeşilköy, Eski Havaalanı Caddesi, Yeşilköy Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34149, Türkiye"
bakirkoy,yesilkoy,yesilyurt,98,5,40.9635642,28.8349914,1.0,0.0,"Yeşilyurt İstasyon Caddesi, Yeşilyurt Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34149, Türkiye"
bakirkoy,zeytinlik,merkez,99,3,40.9991156,28.8744999,1.0,0.0,"M3 Bakırköy Sahil - Kayaşehir Merkez Metro Hattı, Sporcu Sokağı, Zeytinlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34140, Türkiye"
bakirkoy,zuhuratbaba,merkez,100,10,40.9824138,28.8711297,2.0,0.0,"Zuhuratbaba Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34147, Türkiye"
basaksehir,bahcesehir,bahcesehir 1. kisim,101,60,41.0622498,28.6896148,1.0,0.0,"Özel Bahçeşehir Sağlık Polikliniği, 1, Cenk Koray Caddesi, Akasya 03, Bahçeşehir, Bahçeşehir 1. Kısım Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34488, Türkiye"
basaksehir,bahcesehir,bahcesehir 2. kisim,102,131,41.0825866,28.6764676,1.0,0.0,"Aras real estate of Turkey, 8, 12. Cadde, Boğazköy, Bahçeşehir 2. Kısım Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34000, Türkiye"
basaksehir,basaksehir,basak,103,35,41.1034651,28.803761,1.0,0.0,"Başak Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
basaksehir,basaksehir,basaksehir,104,62,41.1060988,28.7907747,1.0,0.0,"Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
basaksehir,i̇kitelli,altinsehir,105,21,41.0711324,28.803895,2.0,0.0,"İkitelli Sanayi, Bedrettimn Dalan Bulvarı, İkitelli OSB Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
basaksehir,i̇kitelli,guvercintepe,106,53,41.0711324,28.803895,2.0,0.0,"İkitelli Sanayi, Bedrettimn Dalan Bulvarı, İkitelli OSB Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
basaksehir,i̇kitelli,i̇kitelli osb,107,1,41.0928922,28.7987071,1.0,0.0,"Trassir Turkey, 1/1/849, OSB Mavi Caddesi, İkitelli OSB Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34384, Türkiye"
basaksehir,i̇kitelli,kayabasi,108,122,41.0711324,28.803895,2.0,0.0,"İkitelli Sanayi, Bedrettimn Dalan Bulvarı, İkitelli OSB Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
basaksehir,i̇kitelli,sahintepe,109,16,41.0711324,28.803895,2.0,0.0,"İkitelli Sanayi, Bedrettimn Dalan Bulvarı, İkitelli OSB Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
basaksehir,i̇kitelli,ziya gokalp,110,55,41.0711324,28.803895,2.0,0.0,"İkitelli Sanayi, Bedrettimn Dalan Bulvarı, İkitelli OSB Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34490, Türkiye"
basaksehir,koyler,samlar,111,3,41.1075794,28.7950711,3.0,1.0,"Başakşehir, İstanbul, Marmara Bölgesi, Türkiye"
bayrampasa,altintepsi,altintepsi,112,10,41.0387966,28.9014711,1.0,0.0,"T.C. Altıntepsi Mahalle Muhtarlığı, Lozan Sokağı, Altıntepsi Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34035, Türkiye"
bayrampasa,altintepsi,terazidere,113,6,41.0388737,28.9015865,2.0,0.0,"Altıntepsi Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34035, Türkiye"
bayrampasa,altintepsi,vatan,114,5,41.0388737,28.9015865,2.0,0.0,"Altıntepsi Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34035, Türkiye"
bayrampasa,muratpasa,i̇smet pasa,115,8,41.0473011,28.9062926,2.0,0.0,"Muratpaşa Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34040, Türkiye"
bayrampasa,muratpasa,kartaltepe,116,12,41.0473011,28.9062926,2.0,0.0,"Muratpaşa Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34040, Türkiye"
bayrampasa,muratpasa,muratpasa,117,9,41.0467204,28.9082471,1.0,0.0,"İSPARK Bayrampaşa Muratpaşa Yeraltı Otoparkı, İlhan Sokağı, Bereç, Muratpaşa Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34040, Türkiye"
bayrampasa,numunebag,orta,118,8,41.0375352,28.9136532,2.0,0.0,"Numunebağ, Yenidoğan Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34030, Türkiye"
bayrampasa,numunebag,yenidogan,119,6,41.0375352,28.9136532,2.0,0.0,"Numunebağ, Yenidoğan Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34030, Türkiye"
bayrampasa,yildirim,cevatpasa,120,1,41.0637573,28.8914625,2.0,0.0,"Yıldırım Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, Türkiye"
bayrampasa,yildirim,kocatepe,121,7,41.0637573,28.8914625,2.0,0.0,"Yıldırım Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, Türkiye"
bayrampasa,yildirim,yildirim,122,8,41.0684267,28.888329,1.0,0.0,"Yıldırım Beyazıt Parkı, Yıldırım Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, Türkiye"
besiktas,abbasaga,abbasaga,123,19,41.0467657,29.0050743,1.0,0.0,"Abbasağa Kuyu Sokağı, Türkali Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34357, Türkiye"
besiktas,abbasaga,cihannuma,124,18,41.0495742,29.0051707,2.0,0.0,"Abbasağa Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, Türkiye"
