price,area_m2,room_count,district,neighborhood,total_rooms
25000.0,120.0,3+1,sancaktepe,kemal turkler,4.0
25500.0,60.0,1+1,sancaktepe,fatih,2.0
24400.0,80.0,2+1,sancaktepe,eyup sultan,3.0
25000.0,85.0,2+1,sancaktepe,abdurrahmangazi,3.0
26000.0,130.0,3+1,sancaktepe,emek,4.0
24000.0,72.0,2+1,sancaktepe,fatih,3.0
23000.0,80.0,2+1,sancaktepe,yunus emre,3.0
25000.0,90.0,2+1,sancaktepe,hilal,3.0
25000.0,90.0,2+1,sancaktepe,abdurrahmangazi,3.0
25000.0,130.0,3+1,sancaktepe,osmangazi,4.0
25000.0,80.0,1+1,sancaktepe,osmangazi,2.0
23500.0,120.0,2+1,sancaktepe,abdurrahmangazi,3.0
25000.0,115.0,2+1,sancaktepe,yunus emre,3.0
22500.0,85.0,2+1,sancaktepe,safa,3.0
24500.0,100.0,2+1,sancaktepe,osmangazi,3.0
23500.0,95.0,2+1,sancaktepe,mevlana,3.0
26000.0,100.0,3+1,sancaktepe,eyup sultan,4.0
26000.0,85.0,2+1,sancaktepe,ataturk,3.0
23000.0,100.0,2+1,sancaktepe,veysel karani,3.0
25000.0,100.0,2+1,sancaktepe,safa,3.0
23999.0,80.0,2+1,sancaktepe,kemal turkler,3.0
23000.0,90.0,2+1,sancaktepe,meclis,3.0
25000.0,110.0,3+1,sancaktepe,merve,4.0
23000.0,100.0,3+1,sancaktepe,safa,4.0
26000.0,95.0,3+1,sancaktepe,akpinar,4.0
26000.0,94.0,2+1,sancaktepe,kemal turkler,3.0
23000.0,75.0,2+1,sancaktepe,fatih,3.0
25000.0,60.0,1+1,sancaktepe,sarigazi,2.0
25000.0,90.0,2+1,sancaktepe,sarigazi,3.0
24000.0,140.0,2+1,sancaktepe,abdurrahmangazi,3.0
25000.0,95.0,2+1,sancaktepe,yenidogan,3.0
25000.0,115.0,3+1,sancaktepe,sarigazi,4.0
25000.0,96.0,2+1,sancaktepe,mevlana,3.0
25000.0,105.0,2+1,sancaktepe,akpinar,3.0
25000.0,140.0,3+1,sancaktepe,fatih,4.0
23500.0,110.0,3+1,sancaktepe,eyup sultan,4.0
23000.0,90.0,2+1,sancaktepe,abdurrahmangazi,3.0
25000.0,120.0,2+1,sancaktepe,veysel karani,3.0
23400.0,80.0,1+1,sancaktepe,yenidogan,2.0
24000.0,100.0,2+1,sancaktepe,emek,3.0
23500.0,75.0,2+1,sancaktepe,kemal turkler,3.0
25000.0,110.0,2.5+1,sancaktepe,safa,3.5
25000.0,95.0,2+1,sancaktepe,inonu,3.0
25000.0,85.0,2+1,sancaktepe,osmangazi,3.0
23500.0,110.0,3+1,sancaktepe,mevlana,4.0
24000.0,160.0,3+1,sancaktepe,veysel karani,4.0
23500.0,100.0,2+1,sancaktepe,ataturk,3.0
23400.0,100.0,2+1,sancaktepe,mevlana,3.0
25000.0,105.0,3+1,sancaktepe,fatih,4.0
23000.0,65.0,1+1,sancaktepe,fatih,2.0
26000.0,75.0,2+1,sancaktepe,yunus emre,3.0
26000.0,85.0,2+1,sancaktepe,sarigazi,3.0
26000.0,80.0,2+1,sancaktepe,yunus emre,3.0
25500.0,85.0,2+1,sancaktepe,osmangazi,3.0
23000.0,100.0,2+1,sancaktepe,akpinar,3.0
24500.0,85.0,2+1,sancaktepe,safa,3.0
24900.0,100.0,2+1,sancaktepe,abdurrahmangazi,3.0
25000.0,80.0,2+1,sancaktepe,ataturk,3.0
25500.0,120.0,3+1,sancaktepe,yunus emre,4.0
25000.0,110.0,2+1,sancaktepe,kemal turkler,3.0
23000.0,85.0,2+1,sancaktepe,mevlana,3.0
26000.0,75.0,1+1,sancaktepe,osmangazi,2.0
25750.0,150.0,3+1,sancaktepe,hilal,4.0
25000.0,90.0,2+1,sancaktepe,safa,3.0
25000.0,100.0,2+1,sancaktepe,abdurrahmangazi,3.0
26000.0,90.0,2+1,sancaktepe,kemal turkler,3.0
23000.0,90.0,2+1,sancaktepe,safa,3.0
25000.0,110.0,2+1,sancaktepe,merve,3.0
26000.0,50.0,1+1,sancaktepe,sarigazi,2.0
25000.0,115.0,2+1,sancaktepe,merve,3.0
24000.0,75.0,2+1,sancaktepe,mevlana,3.0
23000.0,90.0,2+1,sancaktepe,mevlana,3.0
25000.0,80.0,2+1,sancaktepe,yunus emre,3.0
25000.0,60.0,1+1,sancaktepe,eyup sultan,2.0
26000.0,90.0,2+1,sancaktepe,osmangazi,3.0
25000.0,85.0,2+1,sancaktepe,mevlana,3.0
25000.0,95.0,2+1,sancaktepe,mevlana,3.0
26000.0,120.0,2+1,sancaktepe,osmangazi,3.0
25000.0,100.0,3+1,sancaktepe,emek,4.0
24500.0,90.0,2+1,sancaktepe,mevlana,3.0
22500.0,90.0,2+1,sancaktepe,yunus emre,3.0
25000.0,65.0,2+1,sancaktepe,akpinar,3.0
26000.0,120.0,3+1,sancaktepe,fatih,4.0
26000.0,135.0,3+1,sancaktepe,yenidogan,4.0
25000.0,90.0,2+1,sancaktepe,veysel karani,3.0
26000.0,120.0,3+1,sancaktepe,osmangazi,4.0
26000.0,65.0,1+1,sancaktepe,abdurrahmangazi,2.0
24000.0,100.0,3+1,sancaktepe,emek,4.0
22500.0,115.0,3+1,sancaktepe,mevlana,4.0
26000.0,95.0,2+1,sancaktepe,yunus emre,3.0
24000.0,75.0,2+1,sancaktepe,akpinar,3.0
25000.0,110.0,2+1,sancaktepe,meclis,3.0
26000.0,135.0,2+1,sancaktepe,akpinar,3.0
26000.0,90.0,2+1,sancaktepe,yunus emre,3.0
23000.0,80.0,2+1,sancaktepe,safa,3.0
23000.0,130.0,2+1,sancaktepe,safa,3.0
23000.0,70.0,1+1,sancaktepe,emek,2.0
25000.0,75.0,2+1,sancaktepe,yunus emre,3.0
26000.0,70.0,2+1,sancaktepe,fatih,3.0
26000.0,75.0,2+1,sancaktepe,fatih,3.0
26000.0,130.0,2+1,sancaktepe,yunus emre,3.0
23000.0,110.0,2+1,sancaktepe,mevlana,3.0
23000.0,70.0,2+1,sancaktepe,ataturk,3.0
26000.0,68.0,1+1,sancaktepe,abdurrahmangazi,2.0
25000.0,140.0,2+1,sancaktepe,ataturk,3.0
24000.0,90.0,2+1,sancaktepe,merve,3.0
26000.0,120.0,3+1,sancaktepe,emek,4.0
25000.0,125.0,2+1,sancaktepe,osmangazi,3.0
25000.0,65.0,2+1,sancaktepe,emek,3.0
26000.0,120.0,3+1,sancaktepe,abdurrahmangazi,4.0
25000.0,100.0,2+1,sancaktepe,ataturk,3.0
