district,sub_district,neighborhood,location_id,listing_count
sariyer,tarabya,merkez,585,50
sariyer,yenikoy,yenikoy,586,16
sile,agva,agva merkez,587,5
sile,koyler,ahmetli,588,6
sile,koyler,akcakese,589,1
sile,koyler,i̇mrendere,590,1
sile,koyler,i̇mrenli,591,3
sile,koyler,karacakoy,592,1
sile,koyler,mesrutiyet,593,5
sile,sile,balibey,594,11
sile,sile,cavus,595,36
sile,sile,haci kasim,596,1
sile,sile,kumbaba,597,5
silivri,canta,canta balaban,598,5
silivri,canta,canta sancaktepe,599,10
silivri,degirmenkoy,degirmenkoy fevzipasa,600,4
silivri,degirmenkoy,degirmenkoy i̇smetpasa,601,4
silivri,gumusyaka,gumusyaka,602,5
silivri,koyler,seymen,603,1
silivri,ortakoy,ortakoy,604,4
silivri,selimpasa,selimpasa,605,32
silivri,silivri,alibey,606,15
silivri,silivri,alipasa,607,2
silivri,silivri,cumhuriyet,608,7
silivri,silivri,fatih,609,6
silivri,silivri,mimar sinan,610,37
silivri,silivri,piri mehmet pasa,611,11
silivri,silivri,semizkumlar,612,4
silivri,silivri,yeni,613,60
sisli,19 mayis,19 mayis,614,40
sisli,bozkurt,eskisehir,615,34
sisli,bozkurt,merkez,616,24
sisli,cumhuriyet,merkez,617,48
sisli,duatepe,merkez,618,14
sisli,duatepe,pasa,619,33
sisli,esentepe,merkez,620,28
sisli,ferikoy,ferikoy,621,24
sisli,ferikoy,yayla,622,13
sisli,fulya,merkez,623,57
sisli,gulbahar,gulbahar,624,99
sisli,halide edip,halide edip adivar,625,30
sisli,harbiye,i̇nonu,626,28
sisli,harbiye,merkez,627,4
sisli,mecidiyekoy,i̇zzet pasa,628,17
sisli,mecidiyekoy,kustepe,629,42
sisli,mecidiyekoy,mecidiyekoy,630,92
sisli,mesrutiyet,mesrutiyet,631,42
sisli,nisantasi,halaskargazi,632,10
sisli,okmeydani,halil rifat pasa,633,10
